ID,タイトル,章,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,ページ,解説
18,CDPの活動,第2章,企業に気候変動情報の開示を求め、スコアリングを行う非営利団体は？,SBTi,RE100,CDP,ISSB,CDP,54,機関投資家を代表して情報開示を求めます。
19,GXリーグ,第2章,日本において産官学が連携し、脱炭素を経済成長の機会と捉える枠組みは？,GXリーグ,SBTi,TCFD,J-クレジット,GXリーグ,32,2023年から本格稼働している枠組みです。
20,再エネ導入手段,第2章,施設内に太陽光パネルを設置し、発電した電気を自ら使用する方法は？,PPA,自家消費,証書購入,J-クレジット,自家消費,55,自社の敷地内で発電して使う形態です。
21,非化石証書,第2章,非化石電源から作られた電気の環境価値を証書化したものは？,J-クレジット,非化石証書,グリーン電力証書,カーボンクレジット,非化石証書,44,非化石電源の価値を取引可能にしたものです。
22,J-クレジット,第2章,省エネ設備の導入や森林管理による削減量を国が認証する制度は？,RE100,SBT,J-クレジット,CDP,J-クレジット,44,国内のクレジット創出・取引制度です。
23,基準年の設定,第2章,削減目標を設定する際、比較対象となる過去の年度を何と呼ぶ？,目標年,基準年,開始年,現在年,基準年,39,通常は算定データが揃っている直近の年を選びます。
24,短期目標の期間,第2章,SBTにおいて、一般的に設定される「短期目標」の期間は？,1〜3年,5〜10年,15〜20年,30年以上,5〜10年,41,5〜10年先を目標年として設定します。
25,サプライヤー協力,第2章,自社の排出削減のために、仕入先と協力して取り組むことを何と呼ぶ？,サプライヤーエンゲージメント,内部監査,独占禁止,価格交渉,サプライヤーエンゲージメント,103,サプライチェーン全体での削減に不可欠です。
26,グリーンウォッシュ,第2章,実態が伴わないのに、環境に配慮しているように見せかけることを何と呼ぶ？,グリーンマーケティング,グリーンウォッシュ,エコ偽装,環境粉飾,グリーンウォッシュ,166,信頼性を損なう行為として警戒されています。
27,PCAFの対象,第2章,金融機関が投融資先の排出量を算定するための国際基準は？,TCFD,PCAF,SBT,RE100,PCAF,152,投融資ポートフォリオの排出量を測る基準です。
28,削減ロードマップ,第2章,目標達成のために、いつまでに何をすべきかを示した工程表は？,ビジネスプラン,ロードマップ,マニュアル,チェックリスト,ロードマップ,31,削減の道筋を可視化したものです。
29,特定事業者,第2章,省エネ法において、一定以上のエネルギーを使用する事業者の呼称は？,指定事業者,特定事業者,重点事業者,義務事業者,特定事業者,159,年度の使用量が1,500kl以上の事業者が該当します。
30,温対法の目的,第2章,地球温暖化対策の推進に関する法律（温対法）の主な目的は？,再エネの普及,排出抑制の促進,森林の保護,海洋の浄化,排出抑制の促進,155,日本の温暖化対策の基本となる法律です。
31,Scope1の定義,第3章,自社での燃料使用による「直接的な」排出はどのScopeに該当する？,Scope 1,Scope 2,Scope 3,Scope 4,Scope 1,60,ボイラーや車両からの直接排出です。
32,Scope2の定義,第3章,他社から供給された電気や熱の使用に伴う「間接的な」排出はどれ？,Scope 1,Scope 2,Scope 3,Scope 0,Scope 2,60,エネルギー起源の間接排出です。
33,算定の基本式,第3章,排出量を計算するための基本式は？,活動量 × 排出原単位,売上 × 排出原単位,従業員数 × 係数,面積 × 係数,活動量 × 排出原単位,77,最も基本的な算定の考え方です。
34,Scope3の範囲,第3章,Scope 1, 2 以外の、サプライチェーン全体での間接排出はどれ？,Scope 1,Scope 2,Scope 3,Scope 4,Scope 3,60,原材料調達から廃棄までを含みます。
35,カテゴリ1の対象,第3章,Scope 3カテゴリ1「購入した製品・サービス」に含まれるものは？,従業員の出張,原材料の調達,製品の使用,廃棄物の処理,原材料の調達,92,仕入れた部品や材料の排出が該当します。
36,Scope2のロケーション,第3章,地域の平均的な排出係数を用いてScope 2を計算する手法は？,マーケット手法,ロケーション手法,グローバル手法,エリア手法,ロケーション手法,84,送電網の平均的な係数を使う方法です。
37,Scope2のマーケット,第3章,契約した電力メニューごとの係数を用いてScope 2を計算する手法は？,ロケーション手法,マーケット手法,コントラクト手法,サプライヤー手法,マーケット手法,84,再エネメニューなどの価値を反映できます。
38,Scope3カテゴリ11,第3章,販売した製品の「使用」に伴う排出は何カテゴリ？,カテゴリ1,カテゴリ5,カテゴリ11,カテゴリ15,カテゴリ11,137,車や家電の使用時の電力が該当します。
39,Scope3カテゴリ12,第3章,販売した製品の「廃棄」に伴う排出は何カテゴリ？,カテゴリ1,カテゴリ5,カテゴリ12,カテゴリ15,カテゴリ12,143,使用後のゴミ処理やリサイクルが該当します。
40,組織境界の設定,第3章,算定対象とするグループ会社の範囲を決める基準の一つは？,売上高基準,支配力基準,従業員数基準,創業年数基準,支配力基準,66,経営権や議決権で範囲を決める基準です。
41,一次データの定義,第3章,サプライヤー等から直接提供される、実測値に基づくデータを何と呼ぶ？,一次データ,二次データ,公式データ,推定データ,一次データ,101,より精度の高い算定に不可欠なデータです。
42,二次データの定義,第3章,データベースなどに用意された、業界平均などの係数データを何と呼ぶ？,一次データ,二次データ,共通データ,推計データ,二次データ,101,実測値が得られない場合に活用します。
43,温暖化係数(GWP),第3章,各ガスがCO2と比較してどれだけ温める力を有するかを示す数値は？,CO2比,GWP,HWP,EWP,GWP,59,Global Warming Potentialの略です。
44,排出原単位,第3章,「活動量1単位あたりの排出量」を示す数値のことを何と呼ぶ？,排出原単位,活動係数,温暖化指数,変換定数,排出原単位,77,電気1kWhあたりや、ガソリン1Lあたりの排出量です。
45,Scope3のカテゴリ数,第3章,Scope 3には全部でいくつのカテゴリが存在するか？,5カテゴリ,10カテゴリ,15カテゴリ,20カテゴリ,15カテゴリ,62,上流8、下流7の計15カテゴリです。
